outlet,country,n,a_paywall_page,b_same_text,c_listing,d_teaser,e_near_empty,garbled_text,pct_unusable,pct_teaser
swebbtv.se,sweden,3374,0,3255,0,0,0,0,96.5,0.0
tidningensyre.se,sweden,42322,38039,8,0,0,549,0,91.2,0.0
arbetaren.se,sweden,1063,0,738,17,32,5,0,71.5,3.0
hemali.no,norway,1529,0,0,893,0,1,0,58.5,0.0
insikt24.se,sweden,658,0,377,1,0,0,0,57.4,0.0
nyadagbladet.se,sweden,29400,0,2184,13784,0,1,0,54.3,0.0
redox.dk,denmark,891,0,332,104,0,0,0,48.9,0.0
vof.no,norway,142,0,0,57,0,0,0,40.1,0.0
solidaritet.dk,denmark,6270,0,889,624,0,0,0,24.1,0.0
elokapina.fi,finland,347,0,0,82,0,0,0,23.6,0.0
frihetskamp.no,norway,16997,0,0,3082,0,278,0,19.8,0.0
kanto.media,finland,618,0,88,3,0,11,0,16.5,0.0
radikalpolitikk.no,norway,3332,0,364,0,0,128,0,14.8,0.0
denkorteavis.dk,denmark,23817,0,3344,0,0,0,0,14.0,0.0
nyatider.nu,sweden,15036,0,1686,266,5592,8,0,13.0,37.2
exakt24.se,sweden,564,0,35,13,0,2,0,8.9,0.0
sameksistens.com,denmark,374,0,0,32,0,0,0,8.6,0.0
kansalainen.fi,finland,10197,0,34,46,0,790,0,8.5,0.0
svegot.se,sweden,1846,0,83,2,0,16,0,5.5,0.0
flamman.se,sweden,8761,0,425,0,0,2,0,4.9,0.0
mvlehti.net,finland,50000,0,2335,0,0,1,1,4.7,0.0
responsmedie.dk,denmark,211,0,0,10,0,0,0,4.7,0.0
partisaani.com,finland,3572,0,145,0,0,4,0,4.2,0.0
folkungen.se,sweden,1214,0,24,10,0,5,0,3.2,0.0
utenfilter.no,norway,4242,0,0,120,0,1,0,2.9,0.0
vaken.se,sweden,9883,0,0,28,0,223,0,2.5,0.0
nyhetsspeilet.no,norway,3351,0,83,0,0,0,1,2.5,0.0
document.dk,denmark,20308,0,88,66,0,258,0,2.0,0.0
riks.se,sweden,5345,0,31,0,0,38,1321,1.3,0.0
tv.frihedensstemme.dk,denmark,2421,0,0,1,0,25,0,1.1,0.0
samnytt.se,sweden,24372,0,227,11,2551,3,0,1.0,10.5
inyheter.no,norway,25018,0,0,204,3254,5,0,0.8,13.0
magneettimedia.com,finland,3356,0,0,19,0,4,0,0.7,0.0
psst-nyt.dk,denmark,292,0,0,1,0,1,0,0.7,0.0
pt-media.org,finland,13261,0,24,55,0,1,0,0.6,0.0
arbejderen.dk,denmark,9351,0,54,1,0,0,0,0.6,0.0
document.no,norway,107789,0,578,0,68787,13,15185,0.5,63.8
newsvoice.se,sweden,10817,0,0,51,1,5,0,0.5,0.0
vastaansanomat.com,finland,830,0,0,0,0,4,0,0.5,0.0
nyhetsbyran.org,sweden,557,0,0,2,0,1,0,0.5,0.0
modstroemmen.dk,denmark,194,0,0,0,0,1,0,0.5,0.0
proletaren.se,sweden,10685,0,25,10,0,3,0,0.4,0.0
newspeek.info,denmark,3221,0,0,0,0,9,0,0.3,0.0
folkets.dk,denmark,660,0,0,0,0,2,0,0.3,0.0
24nyt.dk,denmark,44850,0,0,7,0,67,0,0.2,0.0
bulletin.nu,sweden,38932,0,0,92,1,0,0,0.2,0.0
nyheteridag.se,sweden,14115,0,0,20,3,5,0,0.2,0.0
kontrast.dk,denmark,6130,0,0,15,0,0,0,0.2,0.0
lykten.no,norway,2168,0,0,0,0,4,0,0.2,0.0
mekansa.fi,finland,626,0,0,0,0,1,0,0.2,0.0
piopio.dk,denmark,18488,0,0,7,0,10,0,0.1,0.0
varisverkosto.com,finland,1441,0,0,1,0,0,0,0.1,0.0
dkdox.tv,denmark,703,0,0,0,0,1,0,0.1,0.0
friatider.se,sweden,46771,0,0,1,1,0,0,0.0,0.0
epochtimes.se,sweden,35369,0,0,0,0,0,0,0.0,0.0
derimot.no,norway,15103,0,0,0,0,0,0,0.0,0.0
rights.no,norway,12396,0,0,1,1,1,0,0.0,0.0
uvmedia.org,finland,11827,0,0,0,0,2,0,0.0,0.0
samtiden.nu,sweden,7361,0,0,0,1,0,0,0.0,0.0
tiedonantaja.fi,finland,7147,0,0,0,0,0,0,0.0,0.0
steigan.no,norway,3584,0,0,0,0,0,0,0.0,0.0
positv.fi,finland,2914,0,0,0,25,1,0,0.0,0.9
verkkosanomat.com,finland,2533,0,0,0,3,1,0,0.0,0.1
vasenkaista.fi,finland,2079,0,0,0,0,0,0,0.0,0.0
detgodasamhallet.com,sweden,2034,0,0,0,1,0,0,0.0,0.0
hannenabintuherland.com,norway,1995,0,0,0,0,0,0,0.0,0.0
ledarsidorna.se,sweden,1568,0,0,0,0,0,0,0.0,0.0
friasidor.is,sweden,904,0,0,0,0,0,0,0.0,0.0
ylewatch.blogspot.com,finland,900,0,0,0,0,0,0,0.0,0.0
sarastuslehti.com,finland,865,0,0,0,0,0,0,0.0,0.0
alternativ-media.com,norway,791,0,0,0,0,0,0,0.0,0.0
avoin.media,finland,456,0,0,0,1,0,0,0.0,0.2
nykysuomi.com,finland,439,0,0,0,0,0,0,0.0,0.0
koronarealistit.net,finland,365,0,0,0,0,0,0,0.0,0.0
mkrsuomi.fi,finland,208,0,0,0,0,0,0,0.0,0.0
oikeamedia.com,finland,40,0,0,0,0,0,30,0.0,0.0
olennaisiafaktoja.wordpress.com,finland,34,0,0,0,0,0,0,0.0,0.0
